Timepoint,Location,Treatment,Nox,NOxstdev,PO4,PO4stdev,NH4,NH4stev,Sil,Silstdev,TDN,TDNstdev
T0,STK,C,2328.096667,36.16237594,248.8433333,52.80306841,17.04,6.042209861,5906.523333,324.1519181,3036.666667,210.7921567
T1,STK,C,2178.893333,100.1058422,193.8166667,68.12589033,17.09666667,24.968641,4234.246667,544.2761693,2703.333333,116.7618659
T1,STK,N,3217.67,98.46519639,240.3266667,35.21244146,22.16333333,17.15047035,4414.36,576.1449485,4043.333333,162.8905563
T1,STK,P,2262.666667,18.93137695,805.44,51.0129954,10.79,13.95533231,4502.566667,330.3045613,2533.333333,417.6521679
T1,STK,NP,3275.36,109.9893286,816.49,47.97402526,11.85666667,15.35374981,4383.736667,119.6638385,918.3333333,744.7364187
T2,STK,C,1326.436667,96.51489488,60.35,10.2302346,12.48333333,12.99181409,1173.533333,63.43374995,1866.666667,178.9785834
T2,STK,N,2536.136667,58.67746529,71.78,8.082870777,16.48666667,21.30290434,1556.666667,90.53493543,3263.333333,47.25815626
T2,STK,P,1350.036667,44.5883576,579.3366667,34.55758142,15.09333333,26.14242019,1613.063333,262.3111718,1873.333333,130.128142
T2,STK,NP,2522.71,49.83449809,577.92,59.59330164,10.93,11.81754205,1679.946667,212.8446674,3173.333333,66.58328118
T3,STK,C,348.94,64.29799141,17.05,2.902774535,12.04,6.370023548,1429.283333,290.7334761,874.3333333,38.18813079
T3,STK,N,1678.723333,41.68222683,25.50333333,2.686193093,22.65333333,10.23753063,1517.57,321.5926754,2396.666667,96.09023537
T3,STK,P,399.8166667,26.22444343,213.87,83.42,16.99,9.420398081,1562.066667,159.2672503,1072.666667,153.6272545
T3,STK,NP,1601.156667,53.73764633,193.4566667,69.71286419,9.2,10.72531585,1390.15,258.8329718,2290,175.2141547
